term_str,PC1,PC2,PC3,PC4,PC5
abounded,0.00011955927221541588,-0.0001635264148585554,-0.0004349260278308837,-0.0010596512322122087,-0.0007260229146952879
abounding,7.99892140124669e-06,-4.023689607405e-05,-0.00014358105939467827,-0.0003208456014879159,-6.233002887817198e-05
abounds,0.0007560221324463426,0.0001548394669413528,9.79405585203085e-05,0.0001761490801662211,-0.0004579913824759943
abrades,-0.00012443824325599555,-0.00016298531363978812,-0.00024459302140088604,0.0007670644509999604,-0.0001477822539418676
abraham,3.77251348903284e-05,-6.730644335508817e-05,-0.0001776839563016984,-0.0003511322042195515,-0.0001970860716663499
abrasion,9.668849432038647e-05,-0.0003186087145012256,0.0009593335298365572,0.00022566975621472917,0.0006180156749391518
abreast,0.0027302758037059498,0.0008862995273230069,0.00040276073165577953,0.00036549128554022586,-0.0004824506267814258
abridged,-0.0001506743070098843,-0.0004208419800365919,0.0009163027599140598,1.9453896116739598e-05,1.470890949207855e-05
abristle,0.0004767132727777159,0.00014703314809738467,7.129812311213451e-05,0.0002675033258604546,0.000602904444700829
abroad,0.0017159074092101682,-4.6037094833767534e-05,-8.386169495926211e-05,-0.0011115938003260144,-4.526947939489355e-05
abrogate,0.00045254634446492546,3.0185341902267308e-05,4.102965257830637e-05,-4.957781176089248e-05,-0.0005959729003800061
abrogation,-0.00016606773474485948,-0.00015345441543421792,-0.0001910627052801609,-5.77482812437532e-05,6.567716575125868e-05
abrou,5.391324102689621e-05,-2.8143052520528882e-05,-4.5523550889250955e-05,-0.00013739039307998242,-0.00019572033077206802
abrupt,0.0015348626813404549,-0.00014708959951787633,0.00011506792860861822,-0.00037824840785085837,-0.0011424141363869796
abruptly,0.0003883673629938391,-0.0006613992016352148,-0.0012482901194616832,-0.0005910260663292018,-2.7940922075931458e-05
abruptness,0.0006518931990175117,3.52561124087399e-05,0.00012573713261096434,7.719366024906155e-05,-0.00047866760072769724
absence,0.005793466162106029,-0.001282800966053332,0.0033638355928306287,-0.00035634415054714054,-0.0021928161890037014
absent,0.001165469175159774,-0.0006430713265546083,-0.00044198945454735613,-0.0018863320143720696,-0.000996307860109182
absently,-0.001694957760449201,-0.0014170141625472925,-0.0022138209823453874,-0.000987414229381386,-0.0001444031409193292
absinthe,1.2846761921312414e-06,-9.258216892619301e-06,-3.002284329127141e-05,-7.24417540614677e-05,-3.33483352533198e-05
absolute,0.0009759525438038678,-0.0013726250065642666,-0.002470294443471727,0.002521385829214052,-0.0013655553208170167
absolutely,-0.0016465488866768089,-0.0016978257390373823,-0.0026151125069069935,-0.0016494688887396987,-0.0022461228414350273
absolution,-0.0006490218964298077,0.001972221364499681,0.0006549311407506626,0.00030972462900452673,-0.00010414806833737219
absolve,5.952565967295528e-05,1.1325625998105036e-05,-2.1770536792791982e-05,-5.770644312690593e-05,0.0001244890759986134
absolved,2.5693523842624828e-06,-1.8516433785238602e-05,-6.004568658254282e-05,-0.0001448835081229354,-6.66966705066396e-05
absorb,7.495989906119303e-05,-0.0003159249728706767,-0.0012257950802392092,-0.0021746478298042323,-0.0005188503782192099
absorbed,0.001133736676423971,-0.0007385530819270334,-0.0018972122854709346,-0.0032017828376405457,-0.001104576990683297
absorbing,0.0011926338482890347,-0.00012091525428900603,1.1734353154166443e-05,-0.0005142359383729084,-0.0014948086940605883
absorbs,0.0003566692983999638,7.050266004623053e-05,-5.820632499772349e-05,-6.258674340717535e-05,0.00030290440124963074
absorption,-0.000586616075157204,-0.0008864393471216355,-0.0014705855666433663,0.003952247026878449,-0.0004956573427586214
abstained,0.0001641603611658372,-4.295246672764497e-05,-4.899205981457303e-05,-0.00014546331184046038,-0.00034777891775276113
abstinence,3.593969243198161e-05,-0.0001863279421134999,-0.0002656292785155801,0.0005624109421221725,-0.00044837277137040076
abstract,-0.0007427638845338339,0.0015460241571823388,0.00012882619147091228,0.0002290887560770641,-8.355407375983054e-05
abstracted,4.9634536285900365e-05,-0.00019580368950922533,-0.00030286670364030634,0.000418607968263875,-0.00047815695843499384
abstractedly,5.391324102689621e-05,-2.8143052520528882e-05,-4.5523550889250955e-05,-0.00013739039307998242,-0.00019572033077206802
abstracting,-0.0001714936310428658,-0.00010724841625264749,-0.0001268403118488021,4.272082587239233e-06,3.1389195933100745e-05
abstraction,-0.0019478046579910692,-0.001339225692566375,-0.001473727999060101,-0.0005533755257520508,-0.000867353657358623
abstruse,0.0002808889751308333,-1.3558683386587898e-05,-9.320333024441345e-05,-0.00015701608112102665,-9.715919999157726e-05
absurd,-0.00023198976643160334,-0.0004612027785850297,-0.0009571155814545124,-0.0008491253742324471,-0.0003001921549843169
absurdest,0.0001641603611658372,-4.295246672764497e-05,-4.899205981457303e-05,-0.00014546331184046038,-0.00034777891775276113
absurdity,-0.0001436082732210407,-0.0011844749225933275,0.002322329190205901,-0.0001987952893058556,-0.00044767866514652485
absurdly,-0.0002628433741297554,-0.00028630765766297835,-0.0003941716516396784,0.000641773558900632,-7.428686515076685e-05
abu,0.0006518931990175117,3.52561124087399e-05,0.00012573713261096434,7.719366024906155e-05,-0.00047866760072769724
abundance,0.0010549584265716985,-0.0009527580961218188,0.0018993958981130734,-0.0006110120788578296,-0.0017047331627364482
abundant,0.0011590324848770603,-0.0003025884126096822,-0.0005801616609821922,-0.0016833905954245123,-0.0017694534425397705
abundantly,0.0005554988654653789,-2.992315825157166e-05,-0.00037250079164674165,-0.0008204348247093365,-0.00012894733921877126
abuse,0.00011878362776848351,0.0005441446945133612,-0.0004308614703060335,-0.0001296596639244845,0.0011699019020198714
abused,0.0005582133544795152,-6.443548153578994e-06,0.00014175159727824327,-0.00011087697470003856,-0.0005595024313111322
abusing,-0.0005385530806734914,-0.0005531105049617988,-0.00017186023183271622,-0.0011709652635915673,0.0009634310126197224
abusive,-0.00016552681296928893,-0.0005506563322829409,-0.00046792174977147743,-0.0006738969524059358,0.00024673656191353513
abutment,0.0007857973779419901,4.438575954848292e-05,0.00015507845988902027,-8.736885530965598e-05,-0.0008041996481137741
abutted,0.0009815254770009026,0.00015881494187722944,2.325532850936029e-05,7.021862173547e-05,5.125597800776402e-05
abutting,0.00044893827692007613,5.79993646017529e-05,4.3911140983486624e-05,-1.8309559017922752e-05,-0.0008765167910707373
abysmal,0.0025372597750564414,0.0002559662745934718,0.00048118649261799206,0.0004141811445144097,-0.0010907204641935147
abyss,0.005285848436252321,-0.0004330016085157263,-0.0013116745790333784,-0.0039253783938016686,-0.006630033079427561
abyssinia,0.0022474193642031967,8.644111630599643e-05,0.00034065073760603914,0.00013522408828207258,-0.0016149096632134007
abyssinian,0.004563252393122622,0.0002467927868611812,0.0008801599282767576,0.0005403556217434331,-0.00335067320509391
abzar,-0.004578575446716018,0.012410503737413562,0.004086379514443906,0.002455470155253803,-0.002389128861811674
acabah,5.391324102689621e-05,-2.8143052520528882e-05,-4.5523550889250955e-05,-0.00013739039307998242,-0.00019572033077206802
acacia,0.0025211126366901735,-0.00017847958301350853,0.0009008929383812743,-0.0005685616590288691,-0.003964643843670009
academic,-0.0017711674159333714,-0.0016719035142564694,-0.001761815203442638,-0.0006891298263523192,0.00046075738675682715
academical,3.7780405653991958e-06,-1.7606679091443608e-05,-6.43346075627311e-05,-0.00014108540956698031,-1.777076760906159e-05
academy,-0.002329627182037379,-0.003119655096135941,-0.003684032885120317,0.010738716775459676,-0.001812357145223539
acaire,-0.0003733147297679866,-0.0004889559409193645,-0.0007337790642026579,0.002301193352999881,-0.00044334676182560266
acalan,-0.0008584828962592446,0.0023269694507650185,0.0007661961589582244,0.00046040065411008226,-0.00044796166158968416
accede,0.00031581800814199483,-0.00014735090894075245,-0.0011423607543371843,-0.0022778059262746468,0.003591383055833697
acceding,0.0003866504066591803,0.00011313597759912025,6.43370423047315e-05,0.0002129972165518579,0.00037032471024442447
accelerate,0.0010019962251472743,-3.084963658836916e-05,6.146456913358078e-05,-0.0003244135008279542,-0.001326481397716268
accelerated,-0.0008086470111417363,-0.0010194380452615223,-0.0015453226422456306,-0.00211869683257239,0.0012489154550261302
